title_uias,id,title,title_en,plot,year,countries,tagline,actors,directors,screenwriters,producers,operators,composers,art_direction_by,editing_by,genres,cast,budget,marketing,profit_usa,profit_russia,profit_world,audience,rating,votes,imdb_rating,imdb_votes,runtime,release,posters,trailers,youtube_ids,series,series_years,release_russia,release_world,viewers,budget.1,age_restr
Алита: Боевой ангел,88173,Алита: Боевой ангел,Alita: Battle Angel,"Действие фильма происходит через 300 лет после Великой войны в XXVI веке. Доктор Идо находит останки женщины-киборга. После починки киборг ничего не помнит, но обнаруживает, что в состоянии пользоваться боевыми приемами киборгов. Начинаются поиски утерянных воспоминаний.",2019,США,"«Ангел падёт, и восстанет воин»","Роза Салазар, Кристоф Вальц, Дженнифер Коннелли, Махершала Али, Эд Скрейн, Джеки Эрл Хейли, Киан Джонсон, Хорхе Лендеборг мл., Лана Кондор, Идара Виктор",Роберт Родригес,"Джеймс Кэмерон, Лаэта Калогридис, Юкито Кисиро","Джеймс Кэмерон, Джон Ландау, Дэвид Валдес",Билл Поуп,Junkie XL,"Кэйла Эддлебльют, Стив Джойнер, Джефф Б. Адамс мл.","Стивен Е. Ривкин, Йен Силверштейн","фантастика, боевик, триллер, приключения",{},170000000,None,85710210,12731084,404852543,,7.091,108696,None,None,121,None,,,,FALSE,(),5 февраля 2019,14 февраля 2019,None,$170 000 000,None
Как приручить дракона 3,706655,Как приручить дракона 3,How to Train Your Dragon: The Hidden World,"Когда-то викинги жили в гармонии с драконами. В те времена они делили радость, горе… и последние штаны. Казалось, что так будет всегда, но появление загадочной Дневной Фурии изменило жизнь острова. И теперь Иккинг и Беззубик столкнутся с безжалостным охотником на драконов, жаждущим уничтожить все, что им дорого.",2019,"США, Япония",«Братья навеки»,"Джей Барушель, Америка Феррера, Ф. Мюррэй Абрахам, Кейт Бланшетт, Джерард Батлер, Крэйг Фергюсон, Джона Хилл, Кристофер Минц-Плассе, Кристен Уиг, Кит Харингтон",Дин ДеБлуа,"Дин ДеБлуа, Крессида Коуэлл","Бонни Арнольд, Майкл А. Коннолли, Даг Дэвисон",Джил Циммерман,Джон Пауэлл,Пьер-Оливье Винсент,Джон К. Карр,"мультфильм, фэнтези, боевик, приключения, семейный",{},129000000,None,160799505,28653422,521799505,,7.712,72226,None,None,104,None,,,,FALSE,(),3 января 2019,21 февраля 2019,None,$129 000 000,None
Капитан Марвел,843859,Капитан Марвел,Captain Marvel,"После столкновения с враждующими инопланетными расами, пилот военно-воздушных сил Кэрол Дэнверс обретает суперсилу и становится неуязвимой. Героине предстоит совладать со своими новыми способностями, чтобы противостоять могущественному врагу.",2019,"США, Австралия",«Быстрее. Выше. Сильнее»,"Бри Ларсон, Сэмюэл Л. Джексон, Бен Мендельсон, Джуд Лоу, Аннетт Бенинг, Джимон Хонсу, Ли Пейс, Лашана Линч, Джемма Чан, Кларк Грегг","Анна Боден, Райан Флек","Анна Боден, Райан Флек, Женева Робертсон-Дуорет","Виктория Алонсо, Луис ДЭспозито, Кевин Файги",Бен Дэвис,Пинар Топрак,"Энди Николсон, Эндрю Макс Кан, Джейсон Т. Кларк","Дэбби Берман, Эллиот Грэхэм","фантастика, боевик, приключения",{},175000000,None,426829839,20693769,1128274794,,6.542,108184,None,None,123,None,,,,FALSE,(),27 февраля 2019,7 марта 2019,None,$175 000 000,None
Балканский рубеж,1000443,Балканский рубеж,,Югославия. 1999 год. Российская спецгруппа получает приказ взять под контроль аэродром Слатина в Косово и удерживать его до прихода подкрепления. Но этот стратегический объект крайне важен албанскому полевому командиру и натовским генералам. Группа вынуждена принять неравный бой с террористами. К аэродрому устремляются российские миротворцы и силы НАТО. Мир вновь близок к большой войне.,2019,"Россия, Сербия","«Мир, за который стоит бороться»","Антон Пампушный, Гоша Куценко, Милош Бикович, Милена Радулович, Гойко Митич, Равшана Куркова, Дмитрий Фрид, Александар Радойичич, Кирилл Полухин, Сергей Марин",Андрей Волгин,"Иван Наумов, Наталья Назарова, Андрей Анайкин","Гоша Куценко, Вадим Быркин, Васил Шевц",Вячеслав Лисневский,Михаил Афанасьев,"Жанна Пахомова, Владислав Травинский, Анастасия Баталова",Андрей Анайкин,"боевик, военный, драма, история",{},None,None,None,4944386,5849400,,7.319,39696,None,None,151,None,,,,FALSE,(),21 марта 2019,21 марта 2019,1.28 млн,230 000 000 руб.,None
Дамбо,841636,Дамбо,Dumbo,"Цирковой импресарио Макс Медичи назначает бывшую звезду цирка Холта Фэрриера и его детей Милли и Джо опекунами новорожденного слонёнка, чьи невероятно большие уши сразу становятся предметом для постоянных шуток и насмешек коллег Холта по цеху. Внезапно узнав, что Дамбо умеет летать, владелец цирка решает нажиться на необычных способностях слонёнка. К делу подключается энергичный предприниматель В. А. Вэндевер, который решает сделать из малыша Дамбо главную звезду своего нового грандиозного развлекательного предприятия «Сказочная страна».",2019,"США, Великобритания, Австралия, Канада","«In 2019, a beloved tale will take you to new heights»","Колин Фаррелл, Майкл Китон, Дэнни ДеВито, Ева Грин, Алан Аркин, Нико Паркер, Финли Хоббинс, Рошан Сет, Ларс Айдингер, Деобиа Опарей",Тим Бёртон,"Эрен Крюгер, Хелен Аберсон, Харольд Перл","Тим Бёртон, Каттерли Фроуенфельдер, Дерек Фрэй",Бен Дэвис,Дэнни Элфман,"Рик Хайнрихс, Эндрю Беннетт, Дин Клегг",Крис Лебензон,"фэнтези, семейный, приключения",{},170000000,None,114766307,8367734,353284621,,6.753,28450,None,None,112,None,,,,FALSE,(),11 марта 2019,28 марта 2019,None,$170 000 000,None
Шазам!,840372,Шазам!,Shazam!,"В каждом из нас живет супергерой, нужна лишь толика магии, чтобы он проявил себя. Билли Бэтсон должен прокричать всего лишь одно слово — ШАЗАМ! — чтобы из сообразительного четырнадцатилетнего мальчишки превратиться во вполне себе взрослого супергероя Шазама, а все благодаря древнему волшебнику. В душе он остается ребенком, пусть и во взрослом могучем теле, поэтому поступает так, как поступил бы любой подросток, получивший сверхспособности, — оттягивается на полную катушку в этой подросшей версии себя самого! А умеет ли он летать? А есть ли у него рентгеновское зрение? Может ли он стрелять молниями из рук? А может ли пропустить контрольную по обществознанию? Шазам проверяет границы своих возможностей с бесшабашностью расшалившегося ребенка.  Но ему придется быстро обрести контроль над своими способностями, чтобы сразиться со смертоносными силами зла доктора Таддеуса Сиваны.",2019,"США, Канада",«Хочешь спасти мир? Скажи...»,"Закари Ливай, Эшер Энджел, Джек Дилан Грейзер, Марк Стронг, Грэйс Фултон, Адам Броди, Джимон Хонсу, Фэйти Херман, Миган Гуд, Мишель Борт",Дэвид Ф. Сандберг,"Генри Гайден, Билл Паркер, Чарльз Кларенс Бек","Ричард Бренер, Джеффри Чернов, Дэни Гарсиа",Максим Александр,Бенджамин Уоллфиш,"Дженнифер Спенс, Брандт Гордон, Колин Вудс",Мишель Аллер,"фэнтези, боевик, комедия, приключения",{},100000000,None,140371656,10083036,365971656,,6.764,73020,None,None,132,None,,,,FALSE,(),25 марта 2019,4 апреля 2019,None,$100 000 000,None
Хеллбой,693331,Хеллбой,Hellboy,"Близится час битвы Хеллбоя с Кровавой королевой, буквально собирающей себя по частям и жаждущей отомстить всему человечеству за века в заточении. Оказавшись в эпицентре столкновения миров людей и монстров, Хеллбой будет вынужден пройти через ад, чтобы предотвратить надвигающийся апокалипсис.",2019,"США, Великобритания, Болгария, Канада",«Легенда возвращается»,"Дэвид Харбор, Иэн МакШейн, Милла Йовович, Саша Лэйн, Дэниэл Дэ Ким, Алистэр Петри, Софи Оконедо, Брин Глисон, Томас Хейден Чёрч, Стивен Грэм",Нил Маршалл,"Эндрю Косби, Майк Миньола","Лоуренс Гордон, Карл Хампе, Ярив Лернер",Лоренцо Сенаторе,Бенджамин Уоллфиш,"Пол Кирби, Алексей Карагьяур, Иван Ранхелов",Мартин Бернфельд,"фэнтези, боевик, приключения",{},50000000,None,21903748,3809455,44664690,,5.797,34241,None,None,120,None,,,,FALSE,(),9 апреля 2019,11 апреля 2019,None,$50 000 000,None
Миллиард,1097478,Миллиард,,"Влиятельный банкир делает всё возможное, чтобы не делиться имуществом со своими незаконнорожденными сыновьями. Но когда его лишают всех денег, выясняется, что помочь Матвею могут только они… Чтобы вернуть себе состояние, миллиардер будет вынужден пойти на ограбление собственного банка в Монте-Карло. А для этого ему придётся выполнить ещё более сложную задачу: вернуть доверие выросших без отца детей…",2019,Россия,,"Владимир Машков, Александра Бортич, Гела Месхи, Павел Чинарёв, Марина Петренко, Мария Миронова, Даниил Спиваковский, Григорий Калинин, Федор Бавтриков, Дмитрий Астрахан",Роман Прыгунов,Андрей Золотарев,"Владимир Маслов, Вадим Верещагин, Бинке Анисимов",Илья Авербах,Олег Белов,"Мухтар Мирзакеев, Анастасия Егорова",Вазген Каграманян,"комедия, боевик",{},None,None,None,6740201,6472620,,4.885,33541,None,None,101,None,,,,FALSE,(),19 апреля 2019,18 апреля 2019,1.6 млн,260 000 000 руб.,None
Мстители: Финал,843650,Мстители: Финал,Avengers: Endgame,"Оставшиеся в живых члены команды Мстителей и их союзники должны разработать новый план, который поможет противостоять разрушительным действиям могущественного титана Таноса. После наиболее масштабной и трагической битвы в истории они не могут допустить ошибку.",2019,США,«Avenge the fallen»,"Роберт Дауни мл., Крис Эванс, Марк Руффало, Крис Хемсворт, Скарлетт Йоханссон, Джереми Реннер, Дон Чидл, Пол Радд, Бри Ларсон, Карен Гиллан","Энтони Руссо, Джо Руссо","Кристофер Маркус, Стивен МакФили, Стэн Ли","Кевин Файги, Виктория Алонсо, Митчелл Белл",Трент Опалок,Алан Сильвестри,"Чарльз Вуд, Джулиан Эшби, Джим Барр","Джеффри Форд, Мэттью Шмидт","фантастика, боевик, драма, приключения",{},356000000,None,858373000,47450130,2797800564,,7.616,179974,None,None,181,None,,,,FALSE,(),22 апреля 2019,29 апреля 2019,None,$356 000 000,None
Покемон. Детектив Пикачу,994864,Покемон. Детектив Пикачу,Pokémon Detective Pikachu,"История начинается с таинственного исчезновения частного детектива экстра-класса Гарри Гудмана, расследовать которое предстоит его 21-летнему сыну Тиму. Помощь в расследовании ему окажет бывший партнер отца, детектив Пикачу — уморительный, остроумный и обаятельный сыщик, который является загадкой даже для себя самого. Обнаружив, что они каким-то фантастическим образом способны общаться друг с другом, Тим и Пикачу объединяют усилия в захватывающем расследовании этой запутанной истории. В погоне за уликами по неоновым улицам Райм Сити — современного разросшегося мегаполиса, где люди и покемоны живут бок о бок в гиперреалистичном мире игрового экшна, — они встречают самых разнообразных покемонов и раскрывают ужасный заговор, который способен разрушить это мирное сосуществование и стать угрозой для всей вселенной покемонов.",2019,"США, Япония",,"Райан Рейнольдс, Джастис Смит, Кэтрин Ньютон, Билл Найи, Кэн Ватанабэ, Крис Гир, Сьюки Уотерхаус, Джозетт Саймон, Алехандро Де Меса, Рита Ора",Роб Леттерман,"Дэн Эрнандез, Бенжи Самит, Роб Леттерман","Грег Бакстер, Кейл Бойтер, Джозеф М. Карачиоло мл.",Джон Мэтисон,Генри Джекман,"Найджел Фелпс, Рави Бансал, Андреа Борланд","Марк Сэнгер, Джеймс Томас","фантастика, фэнтези, детектив, приключения, семейный",{},150000000,None,144105346,7865080,433005346,,6.531,47475,None,None,104,None,,,,FALSE,(),2 мая 2019,16 мая 2019,None,$150 000 000,None
Аладдин,1007049,Аладдин,Aladdin,"Молодой воришка по имени Аладдин хочет стать принцем, чтобы жениться на принцессе Жасмин. Тем временем визирь Аграбы Джафар намеревается захватить власть над Аграбой, а для этого он стремится заполучить волшебную лампу, хранящуюся в пещере чудес, доступ к которой разрешен лишь тому, кого называют «алмаз неограненный», и этим человеком является не кто иной, как сам Аладдин.",2019,США,,"Мена Массуд, Наоми Скотт, Уилл Смит, Марван Кензари, Навид Негабан, Назим Педрад, Билли Магнуссен, Джордан А. Нэш, Талия Блэр, Обри Лин",Гай Ричи,"Джон Огаст, Гай Ричи","Айван Эткинсон, Кевин Де Ла Ной, Джонатан Эйрих",Алан Стюарт,Алан Менкен,"Джемма Джексон, Рави Бансал, Оливер Кэрролл",Джеймс Херберт,"мюзикл, фэнтези, мелодрама, приключения, семейный",{},183000000,None,355559216,21825132,1050693953,,7.268,92722,None,None,128,None,,,,FALSE,(),8 мая 2019,23 мая 2019,None,$183 000 000,None
Тайная жизнь домашних животных 2,995974,Тайная жизнь домашних животных 2,The Secret Life of Pets 2,"Хозяева Макса уезжают за город в гости на ранчо и берут его с собой. Тем временем, в городе у Снежка и Гиджет свои приключения.",2019,"США, Франция, Япония",«Обхохочешься»,"Пэттон Освальт, Кевин Харт, Харрисон Форд, Эрик Стоунстрит, Дженни Слейт, Тиффани Хэддиш, Лэйк Белл, Дэна Карви, Бобби Мойнахан, Хэннибал Бёресс","Крис Рено, Джонатан дель Валь","Брайан Линч, Кен Даурио, Синко Пол","Кристель Бэлкон, Джанет Хили, Бретт Хоффман",,Александр Деспла,"Колин Стимпсон, Matthieu Gosselin",Тиффани Л. Кертц,"мультфильм, комедия, приключения, семейный",{},None,None,158874395,25052143,430051293,,6.824,40733,None,None,86,None,,,,FALSE,(),24 мая 2019,30 мая 2019,None :,$430 051 293,None
Люди Икс: Темный феникс,1012431,Люди Икс: Тёмный Феникс,Dark Phoenix,"История Джин Грей, которая разворачивается в тот момент, когда героиня превращается в культового Тёмного Феникса. Во время опасной для жизни спасательной миссии в космосе девушка оказывается поражена таинственной космической силой, которая превращает её в одного из самых могущественных мутантов. В борьбе с этой всё более изменчивой мощью и со своими собственными демонами Джин выходит из-под контроля: раскалывает семью Людей Икс и угрожает уничтожить всю нашу планету.",2019,"США, Канада",«A Phoenix will rise. The X-Men will fall»,"Джеймс МакЭвой, Майкл Фассбендер, Дженнифер Лоуренс, Николас Холт, Софи Тёрнер, Тай Шеридан, Александра Шипп, Эван Питерс, Коди Смит-Макфи, Джессика Честейн",Саймон Кинберг,Саймон Кинберг,"Дэниэл Оклер, Samantha Ellison, Тодд Халлоуэлл",Мауро Фиоре,Ханс Циммер,"Клод Паре, Винсент Аирд, Кэролайн Алдер",Ли Смит,"фантастика, боевик, приключения",{},200000000,None,65845974,7230491,252442974,,5.866,52187,None,None,113,None,,,,FALSE,(),5 июня 2019,6 июня 2019,None,$200 000 000,None
Люди в черном: Интернэшнл,693730,Люди в черном: Интернэшнл,Men in Black International,"Люди в черном, тайная организация на страже покоя и безопасности Земли, уже не раз защищали нас от нападения отбросов Вселенной. На этот раз самая большая опасность для мирового сообщества, которой агентам предстоит противостоять — шпион в их рядах.",2019,"Китай, США",«Вселенная расширяется»,"Крис Хемсворт, Тесса Томпсон, Кумэйл Нанджиани, Ребекка Фергюсон, Рейф Сполл, Эмма Томпсон, Лиам Нисон, Лоран Буржуа, Ларри Буржуа, Кайван Новак",Ф. Гэри Грей,"Мэтт Холлоуэй, Артур Маркам, Лоуэлл Каннингем","Давид Бобэр, Джон Бернард, Чэнь Хунвэй",Стюарт Драйбёрг,"Крис П. Бэйкон, Дэнни Элфман","Чарльз Вуд, Абделла Ачир, Томас Браун","Зене Бэйкер, Кристиан Вагнер, Мэтт Уиллард","фантастика, боевик, комедия, приключения",{},110000000,None,80001807,10410816,253890701,,5.822,46198,None,None,114,None,,,,FALSE,(),11 июня 2019,12 июня 2019,None,$110 000 000,None
История игрушек 4,846824,История игрушек 4,Toy Story 4,"Космический рейнджер Баз Лайтер, ковбой Вуди, собака Спиралька, тиранозавр Рекс и вся команда игрушек снова вместе, и они как никогда готовы к приключениям. С тех пор как Энди поступил в колледж, игрушки поселились в доме своей новой хозяйки Бонни. В свой первый день в школе Бонни смастерила себе из отходов новую игрушку Вилкинса, что положило начало череде событий, в которой найдется место и путешествиям с погонями, и знакомству с новыми игрушками, и встречам с некоторыми из старых друзей, и даже романтической истории.",2019,США,«Собирайтесь в дорогу»,"Том Хэнкс, Тим Аллен, Энни Поттс, Тони Хейл, Кигэн-Майкл Ки, Мадлен Макгроу, Кристина Хендрикс, Джордан Пил, Киану Ривз, Элли Маки",Джош Кули,"Эндрю Стэнтон, Джош Кули, Стефани Фольсом","Галин Зусман, Пит Доктер, Марк Нилсен","Jean-Claude Kalache, Патрик Лин",Рэнди Ньюман,"Боб Поли, Крэйг Фостер, Daniel Holland",Эксел Геддес,"мультфильм, фэнтези, комедия, приключения, семейный",{},None,None,434038008,8637006,1073394593,,7.648,35476,None,None,100,None,,,,FALSE,(),11 июня 2019,20 июня 2019,2.78 млн,$434 038 008,None
Проклятие Аннабель-3,1125423,Проклятие Аннабель 3,Annabelle Comes Home,"Преисполнившись решимости удержать Аннабель от дальнейших разрушений и хаоса, демонологи Эд и Лоррейн Уоррены приносят одержимую куклу в запертую комнату артефактов в своем доме, поместив ее под «надежное» освященное стекло и заручившись благословением священника. Однако беспросветная ночь ужаса ждет обитателей дома, когда Аннабель пробуждает злых духов комнаты и их новой мишенью становится десятилетняя дочь Уорренов Джуди и ее друзья.",2019,США,«Кукла или кукловод?»,"Маккенна Грейс, Мэдисон Айсмен, Кэти Сариф, Майкл Чимино, Вера Фармига, Патрик Уилсон, Самара Ли, Кензи Каплан, Шаде Катарина, Майкл Патрик Макгилл",Гари Доберман,"Гари Доберман, Джеймс Ван","Питер Сафран, Ричард Бренер, Майкл Клиар",Майкл Бёрджесс,Джозеф Бишара,"Дженнифер Спенс, Леа Батлер, Лиза Сон",Кирк М. Морри,"ужасы, триллер, детектив",{},27000000,None,74152591,5598066,231252591,,5.908,17605,None,None,106,None,,,,FALSE,(),17 июня 2019,27 июня 2019,None,$27 000 000,None
Человек-Паук: Вдали от дома,1008445,Человек-паук: Вдали от дома,Spider-Man: Far from Home,"Питер Паркер вместе с одноклассниками отправляется на летние каникулы в Европу. Однако отдохнуть приятелям вряд ли удастся — по прибытии в Венецию группа попадет в эпицентр сражения. Некое существо, состоящее из воды, появляется из ниоткуда и начинает крушить всё на своём пути, и теперь Питеру придётся спасать европейские архитектурные памятники вместе с загадочным супергероем Мистерио.",2019,США,,"Том Холланд, Сэмюэл Л. Джексон, Джейк Джилленхол, Зендея, Коби Смолдерс, Мариса Томей, Джон Фавро, Джейкоб Баталон, Тони Револори, Энгаури Райс",Джон Уоттс,"Крис МакКенна, Эрик Соммерс, Стэн Ли","Кевин Файги, Эми Паскаль, Виктория Алонсо",Мэттью Дж. Ллойд,Майкл Джаккино,"Клод Паре, Грант Армстронг, Чарли Бил","Ли Фолсом, Дэн Лебентал","фантастика, боевик, приключения",{},160000000,None,390532085,21533272,1131927996,,7.268,93299,None,None,129,None,,,,FALSE,(),26 июня 2019,4 июля 2019,None,$160 000 000,None
Король Лев,1005878,Король Лев,The Lion King,"История об отважном львенке по имени Симба. Знакомые с детства герои взрослеют, влюбляются, познают себя и окружающий мир, совершают ошибки и делают правильный выбор.",2019,США,«The King Has Returned»,"Джеймс Эрл Джонс, Дональд Гловер, Чиветель Эджиофор, Джон Оливер, Джон Кани, Элфри Вудард, Джейдон Маккрэри, Шахади Райт Джозеф, Пенни Джонсон, Кигэн-Майкл Ки",Джон Фавро,"Джефф Натансон, Ирен Меччи, Джонатан Робертс","Джон Бартники, Дэбби Босси, Джон Фавро",Калеб Дешанель,Ханс Циммер,"Джеймс Чинланд, Влад Бина","Адам Герстл, Марк Ливолси","мультфильм, мюзикл, драма, приключения, семейный",{},260000000,None,543638043,47106883,1656943394,,7.154,69571,None,None,118,None,,,,FALSE,(),9 июля 2019,18 июля 2019,None,$260 000 000,None
Форсаж: Хоббс и Шоу,1044450,Форсаж: Хоббс и Шоу,Fast & Furious Presents: Hobbs & Shaw,"Люк Хоббс — американский элитный спецагент, он любит удобную спортивную одежду, большие пикапы и здоровое питание. Декард Шоу — британский пижон, бывший сотрудник разведки, предпочитает дорогие костюмы, спортивные авто и пабы. Эти двое терпеть друг друга не могут. Но если кто-то угрожает их семьям, они готовы пойти на всё. Даже на работу в команде.",2019,США,«Nothing is stronger than family»,"Дуэйн Джонсон, Джейсон Стэйтем, Ванесса Кирби, Идрис Эльба, Эдди Марсан, Хелен Миррен, Райан Рейнольдс, Эйса Гонсалес, Клифф Кёртис, Элиана Суа",Дэвид Литч,"Крис Морган, Дрю Пирс, Гэри Скотт Томпсон","Кэти Чейсен-Хэй, Стив Чесман, Эйнсли Дэвис",Джонатан Села,Тайлер Бейтс,"Давид Шойнеман, Дэвид Оллдей, Уилл Кубро",Кристофер Раус,"боевик, приключения",{},200000000,None,173956935,19519647,759056935,,6.247,49120,None,None,137,None,,,,FALSE,(),13 июля 2019,1 августа 2019,None,$200 000 000,None
Однажды... в Голливуде,1047883,Однажды в... Голливуде,Once Upon a Time... in Hollywood,"1969 год, золотой век Голливуда уже закончился. Известный актёр Рик Далтон и его дублер Клифф Бут пытаются найти свое место в стремительно меняющемся мире киноиндустрии.",2019,"США, Великобритания, Китай",«The 9th Film from Quentin Tarantino»,"Леонардо ДиКаприо, Брэд Питт, Марго Робби, Эмиль Хирш, Маргарет Куэлли, Тимоти Олифант, Джулия Баттерз, Остин Батлер, Дакота Фаннинг, Брюс Дерн",Квентин Тарантино,Квентин Тарантино,"Тина Андерсон, Джеффри Чан, Уильям Пол Кларк",Роберт Ричардсон,,"Барбара Линг, Тристан Пэрис Борн, Джон Декстер",Фред Раскин,"драма, комедия",{},90000000,None,140838749,19260721,372679647,,7.591,154312,None,None,161,None,,,,FALSE,(),21 мая 2019,8 августа 2019,None,$90 000 000,None
Angry Birds 2 в кино,1040441,Angry Birds 2 в кино,The Angry Birds Movie 2,"Острова птиц и зелёных свиней находятся в режиме ленивой перестрелки, когда у них появляется новый враг — Зета, предводительница обитателей третьего, ледяного острова. Ей до чёртиков надоело жить в вечной мерзлоте, поэтому злодейка разрабатывает коварный план по захвату соседних тропических островов. Птицы и свиньи объединяются против внезапной угрозы, а в это время три пушистых птенчика, играя на берегу, случайно отправляют в океанское плавание три яйца.",2019,"США, Финляндия",«Заклятые друзья?»,"Джейсон Судейкис, Джош Гад, Лесли Джонс, Билл Хейдер, Рэйчел Блум, Аквафина, Стерлинг К. Браун, Эухенио Дербес, Тиффани Хэддиш, Дэнни Макбрайд","Туроп Ван Орман, Джон Райс","Питер Экерман, Эял Поделл, Джонатан Э. Стюарт","Мэри Эллен Бодер, Джон Клинтон, Джон Коэн","Tom Bruno Jr., Саймон Дансдон",Эйтор Перейра,Пит Освальд,"Кент Бейда, Элли Гаррет","мультфильм, комедия, приключения, семейный",{},65000000,None,41667116,9250018,154692886,,6.551,10499,None,None,97,None,,,,FALSE,(),2 августа 2019,15 августа 2019,None,$65 000 000,None
Я иду искать,1198736,Я иду искать,Ready or Not,"Молодая невеста — теперь часть семьи своего новоиспеченного мужа, богатого, но эксцентричного рода, чтящего вековые традиции. Кто бы мог подумать, что первая брачная ночь превратится в смертельную игру с новообретёнными родственниками, в которой девушке нужно будет очень постараться, чтобы дожить до рассвета.",2019,"США, Канада",«The Game Begins»,"Самара Уивинг, Адам Броди, Марк ОБрайэн, Генри Черни, Энди МакДауэлл, Мелани Скрофано, Кристиан Бруун, Элиз Левек, Никки Гуаданьи, Джон Ралстон","Мэттью Беттинелли, Тайлер Джиллетт","Гай Бусик, Райан Мерфи","Брэдли Дж. Фишер, Уильям Шерак, Джеймс Вандербилт",Бретт Юткевич,Брайан Тайлер,"Эндрю М. Стерн, Эйвери Плюз, Майк Леандро",Терел Гибсон,"триллер, комедия, ужасы",{},None,None,28714231,2081185,57615777,,6.707,32128,None,None,95,None,,,,FALSE,(),27 июля 2019,29 августа 2019,543.3 тыс.,$28 714 231,None
Оно-2,686898,Оно 2,It Chapter Two,"Проходит 27 лет после первой встречи ребят с демоническим Пеннивайзом. Они выросли, покинули родной городок и практически забыли о тех страшных событиях, но неожиданно в их взрослые проблемы вторгается телефонный звонок. Майк никогда не покидал Дерри и всё это время собирал информацию о жутком клоуне и ждал. Когда в городе начали происходить новые убийства, Майк просит старых друзей вновь собраться вместе и разобраться со злом города Дерри раз и навсегда.",2019,"Канада, США",«Youll Float Again»,"Джессика Честейн, Джеймс МакЭвой, Билл Хейдер, Айзая Мустафа, Джей Райан, Джеймс Рэнсон, Энди Бин, Билл Скарсгард, Джейден Мартелл, Уайатт Олефф",Андрес Мускетти,"Гари Доберман, Стивен Кинг","Richard Brenner, Гари Доберман, Марти П. Юинг",Чекко Варезе,Бенджамин Уоллфиш,"Пол Д. Остерберри, Найджел Чёрчер, Луис Секейра",Джейсон Бэллэнтайн,"ужасы, фэнтези, драма",{},79000000,None,211593228,17983586,473093228,,6.595,79977,None,None,169,None,,,,FALSE,(),26 августа 2019,5 сентября 2019,None,$79 000 000,None
Тайна Печати Дракона,840758,Тайна печати дракона,,"Английский путешественник Джонатан Грин получает от Петра I заказ на изготовление карт Дальнего Востока России. Ему вновь предстоит долгий путь, полный невероятных приключений, который приведет его в Китай. Картограф столкнется с массой головокружительных открытий, неожиданных встреч с диковинными существами, китайскими принцессами, мастерами смертоносных боевых искусств и самим Лун-Ван, Царем всех драконов. Что может быть опаснее, чем посмотреть в глаза Вию? Разве что встретиться с ним вновь. Что на этот раз окажется сильнее — непоколебимый скептицизм ученого или древняя черная магия, уже давно захватившая власть в Восточных землях?",2019,"Россия, Китай",,"Джейсон Флеминг, Арнольд Шварценеггер, Чарльз Дэнс, Джеки Чан, Яо Синтун, Кристофер Фэйрбэнк, Рутгер Хауэр, Мартин Клебба, Юрий Колокольников, Павел Воля",Олег Степченко,"Олег Степченко, Алексей А. Петрухин, Дмитрий Пальцев","Сергей Сельянов, Глеб Фетисов, Ла Пэйкан","Иван Гудков, Нг Ман-Чин",Александра Магакян,Артур Мирзоян,,"приключения, фэнтези",{},49000000,None,None,5712373,14051279,,5.595,25057,None,None,121,None,,,,FALSE,(),16 августа 2019,19 сентября 2019,None :,$14 051 279,None
К звездам,768561,К звёздам,Ad Astra,"Недалёкое будущее. Несколько лет назад человечество запустило программу поиска внеземной жизни «Проект «Лима»», во главе которой стоял капитан Клиффорд Макбрайд. Последний сигнал экспедиции был зафиксирован в районе Нептуна, и с тех пор о её судьбе ничего не было известно. Сам капитан Макбрайд стал героем и самым известным космонавтом, вдохновившим многих на исследование космоса. Через 16 лет после исчезновения «Проекта «Лима»» на Земле начинают происходить странные вспышки энергии, выводящие из строя электросистемы и сеящие хаос и разрушения. По данным американского космического агентства сигнал идёт с Нептуна, и теперь сыну знаменитого космонавта, майору Рою Макбрайду, поручается ответственная миссия. Он должен добраться до марсианской базы и оттуда попытаться связаться с предположительно живым отцом.",2019,"США, Китай, Бразилия",«Ответы на наши вопросы лежат за пределами досягаемости»,"Брэд Питт, Томми Ли Джонс, Рут Негга, Дональд Сазерленд, Кимберли Элиз, Лорен Дин, Донни Кешаварц, Шон Блейкмор, Бобби Ниш, Лиза Гэй Хэмилтон",Джеймс Грэй,"Джеймс Грэй, Итан Гросс","Арнон Милчен, Ярив Милчэн, Брэд Питт",Хойте Ван Хойтема,Макс Рихтер,"Кевин Томпсон, Кевин Констант, Криста Манро","Джон Экселрэд, Ли Хаген","фантастика, триллер, драма, детектив, приключения",{},87500000,None,50188370,5492557,132807427,,6.377,49974,None,None,123,None,,,,FALSE,(),29 августа 2019,26 сентября 2019,None,$87 500 000,None
